Genome,Study,Country,Region,Year,Accession,Database,Continent
PC0009-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012409,varDB,Africa
PC0012-01,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012269,varDB,Africa
PC0016-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR018939,varDB,Africa
PC0019-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012227,varDB,Africa
PC0020-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012462,varDB,Africa
PC0021-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012856,varDB,Africa
PC0023-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012317,varDB,Africa
PC0025-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012791,varDB,Africa
PC0026-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012519,varDB,Africa
PC0030-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012762,varDB,Africa
PC0031-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012425,varDB,Africa
PC0032-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012494,varDB,Africa
PC0035-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012517,varDB,Africa
PC0037-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012424,varDB,Africa
PC0046-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029095,varDB,Africa
PC0047-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012481,varDB,Africa
PC0051-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012456,varDB,Africa
PC0053-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR126559,varDB,Africa
PC0054-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029083,varDB,Africa
PC0056-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029084,varDB,Africa
PC0057-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029085,varDB,Africa
PC0058-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012232,varDB,Africa
